date,type,raw_profit_pct,paypay_profit_pct,rakuten_profit_pct
2026-01-19,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-20,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-21,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-22,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-01-23,HOLD,0.9239704329461418,-0.07602956705385824,0.9239704329461418
2026-01-26,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-27,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-01-28,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-01-29,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-01-30,HOLD,0.7088331515812341,-0.29116684841876594,0.7088331515812341
2026-02-03,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-04,HOLD,-0.32102728731941976,-1.3210272873194198,-0.32102728731941976
2026-02-05,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-06,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-09,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-10,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-12,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-13,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-16,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-17,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-18,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-19,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-20,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-24,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-25,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-26,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-27,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-03-02,PURPLE (STOP),-0.5000000000000115,-1.5000000000000115,-0.5000000000000115
2026-03-03,PURPLE (STOP),-0.5000000000000115,-1.5000000000000115,-0.5000000000000115
2026-03-04,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-05,PURPLE (STOP),-0.49999999999998934,-1.4999999999999893,-0.49999999999998934
2026-03-06,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-03-09,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-03-10,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-11,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-12,PURPLE (STOP),-0.5000000000000115,-1.5000000000000115,-0.5000000000000115
2026-03-13,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-16,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-03-17,HOLD,0.2620741295394913,-0.7379258704605087,0.2620741295394913
2026-01-19,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-20,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-21,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-01-22,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-23,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-26,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-27,HOLD,-0.057954216169231465,-1.0579542161692315,-0.057954216169231465
2026-01-28,HOLD,-0.23859230539815535,-1.2385923053981553,-0.23859230539815535
2026-01-29,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-01-30,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-03,PURPLE (STOP),-0.49999999999998934,-1.4999999999999893,-0.49999999999998934
2026-02-04,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-05,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-06,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-09,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-10,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-12,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-13,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-16,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-17,HOLD,0.2704895861509238,-0.7295104138490762,0.2704895861509238
2026-02-18,HOLD,0.4550321199143559,-0.5449678800856441,0.4550321199143559
2026-02-19,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-20,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-24,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-25,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-26,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-27,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-03-02,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-03,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-04,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-05,PURPLE (STOP),-0.5000000000000115,-1.5000000000000115,-0.5000000000000115
2026-03-06,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-09,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-03-10,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-11,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-12,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-13,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-03-16,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-17,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-19,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-20,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-21,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-22,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-23,PURPLE (STOP),-0.49999999999998934,-1.4999999999999893,-0.49999999999998934
2026-01-26,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-27,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-28,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-29,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-01-30,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-03,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-04,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-05,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-06,PURPLE (STOP),-0.49999999999998934,-1.4999999999999893,-0.49999999999998934
2026-02-09,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-10,PURPLE (STOP),-0.49999999999998934,-1.4999999999999893,-0.49999999999998934
2026-02-12,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-13,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-16,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-17,PURPLE (STOP),-0.5000000000000115,-1.5000000000000115,-0.5000000000000115
2026-02-18,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-19,PURPLE (STOP),-0.5000000000000115,-1.5000000000000115,-0.5000000000000115
2026-02-20,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-24,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-25,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-26,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-27,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-02,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-03,PURPLE (STOP),-0.49999999999998934,-1.4999999999999893,-0.49999999999998934
2026-03-04,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-05,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-06,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-03-09,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-03-10,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-11,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-03-12,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-13,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-03-16,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-17,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-01-19,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-20,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-21,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-22,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-23,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-01-26,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-01-27,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-28,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-29,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-01-30,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-03,PURPLE (STOP),-0.49999999999998934,-1.4999999999999893,-0.49999999999998934
2026-02-04,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-05,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-06,PURPLE (STOP),-0.49999999999998934,-1.4999999999999893,-0.49999999999998934
2026-02-09,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-10,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-12,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-13,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-16,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-17,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-18,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-19,PURPLE (STOP),-0.49999999999998934,-1.4999999999999893,-0.49999999999998934
2026-02-20,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-24,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-25,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-26,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-27,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-02,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-03,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-04,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-05,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-06,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-03-09,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-03-10,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-11,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-12,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-13,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-03-16,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-17,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-19,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-20,PURPLE (STOP),-0.5000000000000115,-1.5000000000000115,-0.5000000000000115
2026-01-21,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-01-22,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-23,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-01-26,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-01-27,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-01-28,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-01-29,PURPLE (STOP),-0.49999999999998934,-1.4999999999999893,-0.49999999999998934
2026-01-30,PURPLE (STOP),-0.5000000000000115,-1.5000000000000115,-0.5000000000000115
2026-02-03,PURPLE (STOP),-0.49999999999998934,-1.4999999999999893,-0.49999999999998934
2026-02-04,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-05,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-06,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-09,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-10,PURPLE (STOP),-0.5000000000000115,-1.5000000000000115,-0.5000000000000115
2026-02-12,PURPLE (STOP),-0.5000000000000115,-1.5000000000000115,-0.5000000000000115
2026-02-13,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-16,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-17,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-18,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-19,PURPLE (STOP),-0.49999999999998934,-1.4999999999999893,-0.49999999999998934
2026-02-20,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-24,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-25,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-02-26,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-02-27,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-03-02,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-03-03,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-04,PURPLE (STOP),-0.5000000000000115,-1.5000000000000115,-0.5000000000000115
2026-03-05,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-03-06,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-09,GOLD (PROFIT),1.0000000000000009,8.673617379884035e-16,1.0000000000000009
2026-03-10,PURPLE (STOP),-0.5000000000000115,-1.5000000000000115,-0.5000000000000115
2026-03-11,PURPLE (STOP),-0.5000000000000115,-1.5000000000000115,-0.5000000000000115
2026-03-12,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-13,PURPLE (STOP),-0.5000000000000115,-1.5000000000000115,-0.5000000000000115
2026-03-16,PURPLE (STOP),-0.5000000000000004,-1.5000000000000004,-0.5000000000000004
2026-03-17,PURPLE (STOP),-0.5000000000000115,-1.5000000000000115,-0.5000000000000115
